code,year,KOFGI,KOFGIdf,KOFGIdj,KOFEcGI,KOFEcGIdf,KOFEcGIdj,KOFTrGI,KOFTrGIdf,KOFTrGIdj,KOFFiGI,KOFFiGIdf,KOFFiGIdj
HUN,1994,68.3600006103516,68.7597961425781,67.9601898193359,55.6990661621094,51.8199119567871,59.5782203674316,55.8467445373535,48.2696342468262,63.4238548278809,55.551383972168,55.3701820373535,55.7325859069824
HUN,1995,70.4731597900391,71.6605377197266,69.2857971191406,59.9145965576172,61.2176895141602,58.6115074157715,59.8747901916504,58.8463478088379,60.9032402038574,59.9543991088867,63.5890235900879,56.3197784423828
HUN,1996,73.1615905761719,72.9776306152344,73.3455505371094,66.6056976318359,65.8069763183594,67.4044189453125,64.4686965942383,64.8687210083008,64.0686798095703,68.7427062988281,66.745246887207,70.7401657104492
HUN,1997,75.0562744140625,74.6480941772461,75.4644241333008,69.7608032226563,68.7313613891602,70.7902450561524,68.8835525512695,67.2742767333984,70.4928207397461,70.6380615234375,70.1884613037109,71.0876693725586
HUN,1998,76.193473815918,75.4766845703125,76.910270690918,71.5489501953125,69.9659729003906,73.1319351196289,71.8925323486328,69.1613464355469,74.6237106323242,71.2053756713867,70.7705993652344,71.6401596069336
HUN,1999,77.2026901245117,76.4285583496094,77.9768218994141,72.238525390625,70.4943237304688,73.9827270507813,73.1217727661133,70.2407836914063,76.0027694702148,71.3552780151367,70.7478637695313,71.9626846313477
HUN,2000,78.6639633178711,78.3278121948242,79.0001220703125,74.5295333862305,73.3217926025391,75.7372817993164,76.4559783935547,74.4351959228516,78.4767608642578,72.6030960083008,72.208381652832,72.9978179931641
HUN,2001,80.4688262939453,79.2843322753906,81.6533126831055,76.6530990600586,72.7616577148438,80.5445251464844,76.3220672607422,74.1014709472656,78.5426712036133,76.9841156005859,71.4218444824219,82.5463943481445
HUN,2002,79.8596496582031,78.8315582275391,80.8877334594727,74.8794555664063,70.7612686157227,78.9976577758789,74.0762405395508,71.0991134643555,77.0533676147461,75.6826782226563,70.4234313964844,80.9419403076172
HUN,2003,80.776252746582,80.0050430297852,81.5474853515625,75.1079864501953,71.1133880615234,79.1025772094727,73.7945175170898,71.4568862915039,76.1321487426758,76.4214553833008,70.7698974609375,82.0730209350586
HUN,2004,83.4334259033203,81.3613510131836,85.5054931640625,81.7312469482422,74.3189697265625,89.1435089111328,81.4462661743164,70.3897552490234,92.5027694702148,82.0162124633789,78.2481689453125,85.7842712402344
HUN,2005,83.7760162353516,81.1100921630859,86.4419555664063,81.6683959960938,75.2222900390625,88.114501953125,81.8442306518555,71.8972091674805,91.7912673950195,81.492561340332,78.5473785400391,84.4377365112305
HUN,2006,84.7401275634766,82.5507965087891,86.929443359375,84.0580902099609,81.1791839599609,86.9369812011719,81.4833526611328,74.36572265625,88.6009902954102,86.6328048706055,87.9926452636719,85.2729568481445
HUN,2007,85.2662353515625,83.1399841308594,87.3924560546875,84.7299652099609,82.7184295654297,86.7414855957031,82.164192199707,76.2504425048828,88.0779418945313,87.2957153320313,89.1864166259766,85.405029296875
HUN,2008,85.562370300293,83.4288177490234,87.695930480957,84.3956146240234,82.8561325073242,85.9350967407227,82.7714157104492,77.5371704101563,88.0056533813477,86.0198135375977,88.1750869750977,83.8645477294922
HUN,2009,85.7292709350586,83.4664611816406,87.992073059082,85.4439086914063,84.5654067993164,86.3224258422852,83.8897933959961,78.4049682617188,89.3746337890625,86.9980545043945,90.7258758544922,83.2702331542969
HUN,2010,85.6474838256836,83.7750091552734,87.5199890136719,85.0707931518555,84.9165496826172,85.2250137329102,84.8155899047852,79.5665588378906,90.0646209716797,85.3259735107422,90.2665405273438,80.3854064941406
HUN,2011,84.7890701293945,83.8010406494141,85.7770538330078,83.2707214355469,84.6344985961914,81.9069519042969,83.2324600219727,80.9032592773438,85.5616683959961,83.3089828491211,88.3657302856445,78.2522430419922
HUN,2012,84.7499237060547,84.0711975097656,85.4286499023438,82.4332504272461,84.7159957885742,80.150505065918,82.5067596435547,80.6034164428711,84.4101104736328,82.359733581543,88.8285675048828,75.8909072875977
HUN,2013,84.7359924316406,84.0269393920899,85.4450378417969,82.1933746337891,84.1791534423828,80.2075805664063,82.7298355102539,80.810302734375,84.6493682861328,81.6568908691406,87.5479965209961,75.7657928466797
HUN,2014,86.0964736938477,83.8346176147461,88.3583297729492,85.6548461914063,82.947021484375,88.362663269043,87.1038284301758,81.1318588256836,93.0757827758789,84.2058639526367,84.7621841430664,83.6495590209961
HUN,2015,85.1194458007813,83.8206481933594,86.4182434082031,82.2747039794922,83.0307846069336,81.5186309814453,85.1270294189453,81.2661972045899,88.9878616333008,79.4223937988281,84.7953872680664,74.0493927001953
HUN,2016,85.134162902832,83.7947463989258,86.4735641479492,82.3745269775391,83.0000381469727,81.7490234375,85.4224853515625,81.0988922119141,89.7460784912109,79.3265762329102,84.9011840820313,73.7519683837891
IRL,1970,62.8400497436524,73.4048538208008,52.2752532958984,57.699089050293,66.9329376220703,48.4652519226074,57.8198966979981,64.9732284545899,50.6665649414063,57.5782890319824,68.8926467895508,46.2639350891113
IRL,1971,64.1366500854492,74.8991012573242,53.3741912841797,59.8860626220703,71.306884765625,48.4652519226074,57.8198966979981,64.9732284545899,50.6665649414063,61.9522361755371,77.6405410766602,46.2639350891113
