iso2c,country,year,sl.ind.empl.zs,SL.AGR.EMPL.ZS,SL.SRV.EMPL.ZS,SL.EMP.SELF.ZS,SL.UEM.NEET.ZS,NV.IND.TOTL.ZS,NV.IND.MANF.ZS,BN.CAB.XOKA.GD.ZS,SP.POP.TOTL,ny.gdp.totl.rt.zs,NY.GDP.MKTP.KN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KN,NY.GDP.PCAP.KD.ZG,NY.GDP.MKTP.KD,NY.GDP.PCAP.KD,NY.GDP.MKTP.CN,NY.GDP.PCAP.CN,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GDP.MKTP.PP.KD,NY.GDP.PCAP.PP.KD,NY.GDP.MKTP.PP.CD,NY.GDP.PCAP.PP.CD
BE,Belgium,1962,,,,,,,,,9220578,,100711424197.272,5.21200350925577,10922.4632335708,4.794034517665,133384673232.843,14465.9774292722,16440317952,1783.00296922818,13264015675.3193,1438.5232330684,,,,
BE,Belgium,1963,,,,,,,,,9289770,,105093966702.487,4.35158428167051,11312.8706849025,3.57435354079992,139189019707.401,14983.0426057267,17674829824,1902.61220934426,14260017387.0492,1535.02372901043,,,,
BE,Belgium,1964,,,,,,,,,9378113,,112405022639.846,6.95668473344054,11985.8891271459,5.94913935630481,148871960992.012,15874.4046901559,19782035456,2109.38335419929,15960106680.6732,1701.84627554319,,,,
BE,Belgium,1965,,,,,,,,,9463667,,116407383138.969,3.56065983986041,12300.4521544312,2.62444466112058,154172785119.867,16291.0196565313,21531359232,2275.16027687787,17371457607.9374,1835.59476553194,,,,
BE,Belgium,1966,,,,,,,,,9527807,,120081077901.82,3.15589498173436,12603.2231658156,2.46146245343814,159038316308.665,16692.0169886591,23118405632,2426.41414042077,18651883472.4808,1957.62608042762,,,,
BE,Belgium,1967,,,,,,,,,9580991,,124725990450.485,3.86814694690094,13018.0678022227,3.29157574176944,165190152085.361,17241.4473706698,24779487232,2586.31776524996,19992040788.4593,2086.63600544654,,,,
BE,Belgium,1968,,,,,,,,,9618756,,129957160165.978,4.19412962494752,13510.8074439125,3.78504436430818,172118441191.469,17894.0438026985,26495297536,2754.5451341109,21376353113.475,2222.36151051913,,,,
BE,Belgium,1969,,,,,,,,,9646032,,138573059704.632,6.62979979529406,14365.8096619037,6.32828364655889,183529549253.245,19026.4296503728,29388689408,3046.71282533585,23710735894.7022,2458.08182003773,,,,
BE,Belgium,1970,,,,,,,,,9655549,0.16140433546404,146321791700,5.59180262879697,15154.1659309067,5.48772597964754,193792159413.007,20070.5479732956,33279519300,3446.67292351787,26849148285.599,2780.69618678327,,,,
BE,Belgium,1971,,,,,,,,,9673162,0.150260808999659,152153925700,3.98582735506511,15729.4921453812,3.79648881434755,201516380314.862,20832.5240820801,36460246800,3769.21701507739,29981290025.4913,3099.43015794539,,,,
BE,Belgium,1972,,,,,,,,,9711115,0.121110521122483,160211395700,5.29560441042238,16497.7343693283,4.88408790853883,212187890638.539,21850.0028718164,40816514000,4203.07184087512,37408591329.8506,3852.14172933289,,,,
BE,Belgium,1973,,,,,,,,,9741720,0.10886288621739,170435609700,6.38170209761178,17495.4330138826,6.04748883828002,225729089706.297,23171.3793566533,46376984600,4760.65670128068,47999363071.8278,4927.1959234948,,,,
BE,Belgium,1974,,,,,,,,,9772419,0.140900349033426,178216435100,4.56525805475498,18236.6755969019,4.23677757750336,236034205156.039,24153.0991616343,54395154900,5566.19143121063,56333010459.8177,5764.48988319245,,,,
BE,Belgium,1975,,,,,,,,,9800700,0.241749202685876,174712804100,-1.96594157998618,17826.5638270736,-2.24882966003929,231393910573.886,23609.9371038687,60199322100,6142.34923015703,66029748930.5693,6737.24825069324,,,,
BE,Belgium,1976,,,,,,,,,9818227,0.261023847964117,184588874900,5.65274585962644,18800.6322220906,5.46413994567867,244474020273.279,24900.0171083108,68420274300,6968.69957274363,71494539498.4326,7281.8177353643,,,,
BE,Belgium,1977,,,,,,,,,9830358,0.21435093642924,185744687000,0.626154799754943,18895.0073842682,0.501978662540424,246004806085.374,25025.0098811635,73997237300,7527.42039506598,83283328418.6832,8472.0544682791,,,,
BE,Belgium,1978,,,,,,,,,9839534,0.160170801243437,191023358900,2.84189657602427,19413.8623739702,2.74598987526167,252996008246.37,25712.1941187834,79466262500,8076.22215645578,101788475086.461,10344.8471326448,,,,
BE,Belgium,1979,,,,,,,,,9848382,0.134397154497309,195495355300,2.34107306339486,19850.5049154267,2.24912762357899,258918829646.89,26290.4941793372,84990587000,8629.90357197761,116938066868.465,11873.8354044821,,,,
BE,Belgium,1980,,,,,,,,,9859242,0.135017165871471,204183274500,4.44405402198321,20709.8349447148,4.32900842043709,270425322309.484,27428.6118861353,92430695900,9375.03064637221,127508202372.741,12932.8605964577,,,,
BE,Belgium,1981,,,,,,,,,9858982,0.200007005173471,203613024100,-0.27928360018538,20652.540404273,-0.276653776308649,269670068733.525,27352.7295955632,96909481200,9829.56264652882,105290614080.834,10679.6638923607,,,,
BE,Belgium,1982,,,,,,,,,9856303,0.254394766377425,204824495000,0.594986939246581,20781.0672013634,0.622329236861646,271274570421.547,27522.9536289161,104866182500,10639.5047412808,92588895020.3073,9393.87669193076,,,,
BE,Belgium,1983,,,,,,,,,9855520,0.196086715581098,205463225300,0.311842731505322,20847.5276088933,0.319812293015914,272120520451.829,27610.9754180225,111097536000,11272.6204198256,87650915976.3314,8893.58613003995,,,,
BE,Belgium,1984,,,,,,,,,9855372,0.164974237705381,210530734700,2.46638267874985,21362.028211619,2.46792143595114,278832053833.577,28292.3925990391,120028933200,12179.0362859971,83795680815.4147,8502.53859675867,,,,
BE,Belgium,1985,,,,,,,,,9858308,0.157016655459949,214008266300,1.65179283915737,21708.417539805,1.62151891550073,283437781732.075,28751.1590966802,127657944100,12949.275281316,86730038793.3963,8797.65967886135,,,,
BE,Belgium,1986,,,,,,,,,9861823,0.0898890487225819,217909127900,1.82276211449314,22096.2318934339,1.78646993921963,288604178235.647,29264.7899111196,133620235400,13549.2429138102,120661220335.922,12235.1841374482,,,,
BE,Belgium,1987,,,,,,,,,9870234,0.0529037170332464,222935549300,2.30665940818535,22586.652889891,2.21947795815262,295261293665.336,29914.3154726966,139004618900,14083.2141264331,150194077687.736,15216.8710172156,,,,
BE,Belgium,1988,,,,,,,,,9901664,0.0376502877769817,233465261000,4.72320889739768,23578.3865216998,4.3907950267952,309207101358.308,31227.7917487716,148727498500,15020.4549962511,163167853538.124,16478.831592157,,,,
BE,Belgium,1989,,,,,,,,,9937697,0.0446925872312403,241564560400,3.46916683249077,24307.9015590836,3.09399897534286,319934011562.337,32193.9793055008,161269772400,16228.0830659256,165100094594.595,16613.516652258,,,,
BE,Belgium,1990,,,,,,,,,9967379,0.0453214549092389,249143412900,3.13740247636093,24995.880351294,2.83026813539693,329971629163.815,33105.1552433006,171007309100,17156.6977738079,206430841501.69,20710.6443430806,305478440213.608,30647.8202758827,186978038235.921,18758.9975494983
BE,Belgium,1991,30.9340000152588,2.9210000038147,66.1449966430664,17.2609996795654,,,,,10004486,0.0291479419734962,253710396700,1.83307427109585,25359.6633250324,1.45537171976262,336020254199.932,33586.9583104952,179151411700,17907.1080413327,211637816538.689,21154.2918385501,311078086904.908,31093.8599849016,196844590909.291,19675.6326021437
BE,Belgium,1992,30.625,2.89599990844727,66.4800033569336,17.8589992523193,,,,,10045158,0.0233224554486716,257593827100,1.53065481372133,25643.581425001,1.11956573054475,341163564395.922,33962.9863856718,188122592400,18727.6887431736,236038384441.656,23497.7274067423,315839618616.551,31441.9761855962,204412200671.513,20349.3265781895
BE,Belgium,1993,29.4580001831055,2.63199996948242,67.911003112793,17.9120006561279,,,,,10084475,0.0251780719723034,255116101400,-0.961873088301189,25297.9060784027,-1.3479994891091,337882003882.909,33505.1655027068,193753005500,19212.9987431175,225924679920.709,22403.2168180008,312801642322.885,31018.1385072485,207242414243.082,20550.6398938053
BE,Belgium,1994,28.8780002593994,2.88800001144409,68.234001159668,17.7220001220703,,,,,10115603,0.0231540687841815,263348625200,3.22697146703889,26033.9027935359,2.90931871140722,348785359740.469,34479.937551965,204194082200,20186.0514098863,246194938750.904,24338.1377018161,322895662069.073,31920.5550147701,218498291340.925,21600.1252066659
BE,Belgium,1995,28.2530002593994,2.67799997329712,69.0690002441406,17.9419994354248,,26.1428494469695,18.4468267492314,,10136811,0.0209515682091138,269628850600,2.3847572377606,26598.9817310395,2.17055023207622,357103043851.13,35228.3419165189,211615800000,20875.9737159941,289567323481.117,28565.9191516066,330595939740.681,32613.4066957232,228399756075.185,22531.7169349596
BE,Belgium,1996,27.6340007781982,2.74499988555908,69.6210021972656,17.9899997711182,,25.8550428262351,18.2436149639904,,10156637,0.0224270847074545,273925133700,1.59340630293812,26970.0624035298,1.39509352742375,362793146259.837,35719.8102344149,215942400000,21261.2107728178,281358175895.766,27701.903287059,335863676281.766,33068.3942216076,232496624669.734,22891.1030954177
